# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
1,845,0.270097,4.271160,9.724700
1,845,0.211043,1.383293,5.386123
1,845,0.333645,1.265493,3.637288
2,1122,0.499403,1.487170,4.613211
3,965,0.445614,1.356732,4.746991
3,965,0.280137,1.075391,3.594677
4,1085,0.537960,1.431099,4.923941
4,1085,0.372522,1.288429,3.975804
5,1232,0.556436,2.290211,6.621204
5,1232,0.497958,1.899095,3.952047
5,1232,0.288512,1.505337,3.484702
6,1485,0.624817,1.841072,5.576332
6,1485,0.555440,1.813235,4.459115
6,1485,0.319862,1.455248,3.184259
7,1709,0.666501,1.828136,4.680520
7,1709,0.641540,1.918180,3.914435
7,1709,0.331057,1.529256,3.115760
8,1840,0.688572,1.928570,3.902105
8,1840,0.681084,1.996877,3.878410
8,1840,0.375037,1.689842,2.596302
9,2038,0.759908,2.133199,5.334720
9,2038,0.718759,2.142958,3.378172
9,2038,0.372958,1.659072,2.400928
10,2185,0.766378,1.951810,4.801379
10,2185,0.740520,1.923688,3.041610
10,2185,0.376022,1.403219,2.298029
11,2192,0.802221,1.756897,4.602858
11,2192,0.759073,1.760171,3.602298
11,2192,0.400708,1.272976,2.261319
12,2328,0.812782,1.794573,3.997501
12,2328,0.780931,1.691960,3.326042
12,2328,0.472926,1.406726,2.328590
13,2507,1.877937,2.990974,5.758873
13,2507,0.847802,2.299948,3.804085
13,2507,0.473695,1.728121,2.608559
14,2511,1.033488,3.824427,5.422852
14,2511,0.857192,1.625907,2.637111
15,2598,1.136863,2.688499,5.170641
15,2587,0.968610,1.944659,3.242530
15,2587,0.566763,1.507058,2.839168
16,2727,1.122066,2.408980,5.428122
16,2727,0.952973,2.258373,3.238825
17,2811,1.313845,4.011965,6.339026
17,2811,1.230821,2.468241,3.272114
18,2879,1.154448,3.467226,6.870995
18,2879,0.978269,2.283960,4.151797
18,2879,1.053109,2.504723,3.675511
19,3071,1.171457,3.471329,5.594403
19,3071,1.055061,2.300127,3.788406
19,3071,1.060744,2.452391,2.634427
20,3314,1.245001,3.801208,9.084521
20,3314,1.115208,2.330058,3.852758
20,3313,1.087732,2.533201,2.900522
20,3313,0.614129,1.925427,2.715340
21,3454,1.309351,3.516584,6.658553
21,3454,1.052117,2.633271,4.002574
21,3454,1.114760,2.437811,2.559330
22,3653,1.074451,3.662919,5.579668
22,3648,1.396407,2.950937,2.959189
22,3648,0.800479,1.916509,3.003510
23,3748,1.256922,3.644631,5.096707
23,3748,1.321258,2.888577,3.304208
23,3748,0.795055,1.975653,3.059866
24,3912,1.389817,3.571788,5.959095
24,3912,0.962809,2.742333,3.530043
24,3912,1.207152,2.477969,3.246295
25,3996,1.684376,5.207963,7.668610
25,3996,1.510721,2.920799,4.428053
25,3996,0.794881,2.296230,2.966723
26,4105,1.499990,3.948913,7.659527
26,4105,1.405233,2.410505,3.396173
26,4105,1.286018,2.361162,2.719897
27,4123,1.662093,4.604295,6.076039
27,4123,1.174975,3.166193,3.945628
28,4143,1.348150,3.541110,6.274077
28,4133,1.262016,2.396024,4.157528
29,4304,1.599032,4.033851,6.715432
29,4281,1.633896,2.763134,4.999947
29,4281,1.439290,2.626249,4.461135
