#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
30.785459,2,2,965,1949
39.393588,3,2,1085,2553
58.310335,4,2,1232,3129
61.106782,5,2,1485,3757
71.755649,6,2,1709,4339
80.549979,7,2,1840,4852
90.806286,8,2,2038,5371
100.632039,9,2,2185,5801
78.756286,10,2,2192,6054
111.855286,11,2,2328,6457
109.588633,12,2,2507,6994
143.130803,13,2,2511,7318
100.103073,14,2,2587,7814
110.712301,14,2,2727,8299
117.584822,15,2,2811,8810
164.732261,16,2,2879,9327
138.501074,17,2,3058,9818
156.256663,17,3,3299,10380
179.026249,16,5,3254,10344
108.244701,14,8,2709,8226
113.444378,15,8,2809,8654
140.516268,13,11,2596,7919
113.883905,14,11,2680,8417
133.824970,15,11,2789,8909
122.097478,15,12,2789,9242
121.740967,15,13,2608,9158
166.730743,15,14,2682,9654
22.482502,17,13,2867,10519
125.704616,16,15,2786,10674
201.172986,17,15,2948,11509
163.686920,18,15,3252,12755
205.500045,16,18,2979,11764
150.360036,16,19,2966,11754
223.258139,17,19,3128,12436
174.293607,18,19,3315,13074
166.600442,16,22,3261,12364
128.559094,10,29,2745,10049
119.312055,9,31,2710,9617
76.163530,4,36,1668,4386
60.239764,5,36,1665,4684
64.113349,5,16,1483,3615
58.735494,6,16,1570,3976
54.327584,7,16,1610,4313
60.693686,8,16,1602,4629
66.411281,9,16,1689,5088
74.975195,10,16,1841,5678
115.325382,11,16,2081,6400
150.432149,12,16,2222,6946
121.652636,12,13,2144,6659
137.336268,13,13,2378,7339
109.234137,14,13,2618,7842
115.803367,15,13,2806,8238
121.229573,16,13,2837,8480
103.339485,14,5,2447,7553
104.591283,14,5,2293,7586
118.857278,16,8,2720,8888
116.554146,16,5,2580,8533
122.689789,17,6,2708,9295
121.149492,16,7,2612,9329
164.245363,15,9,2651,9554
138.192871,16,9,2749,9973
126.886775,16,10,2653,9651
115.761572,11,16,1944,6425
70.822481,7,21,1821,5543
60.761186,4,24,1312,3392
47.974002,4,25,1278,2602
59.655364,4,25,1308,2218
53.650957,5,25,1398,2670
67.285107,6,25,1579,3316
76.037863,6,26,1757,3867
74.887227,6,9,1659,3794
82.349028,7,9,1686,4259
97.855376,8,9,1876,4970
79.969578,9,9,2055,5516
117.633012,10,9,2141,6036
141.121484,11,9,2361,6760
146.083699,12,9,2523,7471
119.458618,13,9,2781,8310
166.558148,13,4,2807,8652
179.132505,15,9,3000,9428
138.502308,15,4,3028,9703
141.978124,16,4,3070,10140
147.827970,17,4,3118,10556
210.027409,18,4,3256,11061
165.758284,19,4,3565,11736
227.393795,18,5,3692,11913
139.347906,14,10,3172,10325
177.563023,13,11,3006,9804
123.688889,12,13,2840,9127
131.952129,12,14,2803,8981
145.003372,11,16,2583,8167
103.217274,10,18,2476,7613
107.149735,11,18,2617,8082
138.993689,10,20,2581,7490
140.533748,10,21,2707,7195
95.240857,10,22,2569,6763
131.648272,11,22,2542,6929
86.050685,9,23,2299,5954
109.197139,13,22,2644,7615
132.381608,11,23,2279,6611
130.503091,15,22,2793,8571
175.325899,16,22,3083,9308
143.700060,16,23,3242,9527
126.091336,15,23,3094,8846
147.701288,16,23,3254,9328
187.487197,17,23,3365,9752
117.231634,14,19,2879,8158
123.482173,19,23,3369,10596
159.379558,20,23,3353,11107
232.322708,19,25,3342,11290
178.915307,22,23,3550,12399
260.266952,23,23,3841,13220
161.891698,18,21,3389,11208
142.150913,13,23,2723,9219
135.810450,9,28,2224,7237
92.184080,4,28,1625,4688
69.713327,5,28,1735,5130
82.003513,5,29,1608,4233
74.496191,5,10,1525,3640
81.734976,6,10,1668,4120
93.871353,7,10,1940,4782
109.649063,8,10,2184,5413
115.014146,9,10,2252,5805
94.330787,10,10,2314,6207
124.122456,10,9,2285,6107
98.530905,11,9,2317,6410
136.242343,12,9,2264,6708
104.574157,13,9,2292,7039
66.233801,14,9,2420,7507
20.156416,15,9,2478,8021
126.179651,16,9,2524,8519
130.266155,17,9,2644,9051
193.833559,18,9,2881,9583
159.170869,19,9,3006,9955
153.159433,19,7,2857,9752
147.509529,20,7,2942,10206
155.779452,21,7,3078,10708
175.073806,22,7,3234,11240
153.857580,21,5,3185,11212
265.857055,30,5,3764,17657
344.947237,28,7,3531,16986
254.392130,28,8,3663,17374
270.125632,29,8,3802,18122
415.947828,31,8,4273,19869
258.154819,26,13,3604,17648
196.527376,17,23,2612,13900
201.485469,18,23,2744,14382
190.410195,16,26,2693,14163
120.858882,7,36,2006,9454
115.913881,6,38,1813,6820
92.434716,7,38,1887,7219
109.776549,7,22,1779,6025
60.304533,8,22,1820,6482
94.294079,9,22,1941,7218
107.012410,10,22,2074,7923
157.456727,11,22,2233,8622
129.591275,12,22,2446,9183
167.180913,12,23,2503,8808
131.903594,13,23,2617,9136
185.243515,14,23,2723,9518
143.831584,15,23,2853,9956
142.967594,15,18,2850,9482
136.679066,15,17,2791,9104
137.464124,16,17,2824,9367
137.029286,16,6,2846,9339
193.986345,17,6,2948,9731
