#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
73.543831,0.100062,5.314728,0.000000,0.005065,78.969711
39.304339,0.182396,11.618228,0.000000,0.001440,51.108474
36.431083,0.670164,16.834249,30.785459,0.151672,84.873758
35.759700,0.482161,21.966741,39.393588,0.314721,97.917567
37.610989,0.725832,28.158171,58.310335,0.373798,125.180069
27.577014,0.633156,34.344242,61.106782,0.474463,124.136308
34.407061,0.587001,38.923054,71.755649,0.586718,146.259875
30.112204,0.660446,43.869947,80.549979,0.710739,155.903767
26.966423,0.652394,49.147747,90.806286,0.849586,168.424280
25.642602,0.708462,51.755031,100.632039,0.942373,179.681039
23.515817,0.749042,54.709582,78.756286,1.022713,158.754029
22.527257,0.664709,59.518382,111.855286,1.089446,195.655555
22.059108,0.610934,62.576872,109.588633,1.378635,196.214787
41.551159,1.365749,67.206293,143.130803,1.367160,254.621654
31.067107,0.780179,72.509839,100.103073,1.465498,205.926230
28.441012,0.560051,69.302840,110.712301,1.570660,210.587472
26.684131,0.550574,73.934407,117.584822,1.902979,220.659518
25.940470,0.586676,76.984774,164.732261,1.647238,269.891935
25.879899,0.556382,85.757030,138.501074,1.892393,252.587295
23.757971,0.601697,84.210782,156.256663,2.143554,266.971141
24.292198,0.890273,89.778763,179.026249,2.096905,296.084919
21.957310,0.676950,91.723079,108.244701,2.678702,225.281253
21.449577,0.836529,95.319693,113.444378,2.742111,233.793040
21.101615,0.758549,92.755401,140.516268,2.501106,257.633462
20.882308,0.817837,91.387211,113.883905,3.099629,230.071541
20.813661,0.822943,95.137592,133.824970,2.953111,253.552791
19.901068,0.759512,88.507101,122.097478,3.624010,234.889697
20.802350,0.665534,94.292278,121.740967,2.311271,239.812879
21.339129,0.387073,97.663105,166.730743,3.689094,289.809559
21.220336,0.500813,90.481951,22.482502,3.012948,137.698991
21.933397,0.356205,98.146812,125.704616,2.284021,248.425935
24.319443,0.389241,97.323379,201.172986,2.313629,325.519208
23.868729,0.410575,100.506835,163.686920,5.109186,293.585263
23.255321,0.516722,99.500425,205.500045,8.037587,336.810649
29.690088,0.797011,99.090918,150.360036,4.394127,284.332983
26.753269,0.672920,102.425037,223.258139,5.938482,359.048725
31.614534,1.007823,113.387940,174.293607,6.757491,327.062228
39.945215,0.827306,107.929018,166.600442,5.589183,320.891948
28.194320,0.885868,119.569364,128.559094,2.800118,280.009492
23.882776,1.018660,82.809147,119.312055,2.680450,229.703722
21.272647,1.044140,62.252918,76.163530,1.478754,162.212714
20.367782,0.787290,56.040809,60.239764,1.230240,138.666509
18.869909,0.724376,52.643560,64.113349,1.089067,137.440776
18.376549,0.597811,53.770921,58.735494,0.911493,132.392727
18.097687,0.510922,54.586724,54.327584,0.985128,128.508512
18.893068,0.521519,59.440155,60.693686,1.067321,140.616177
18.879111,0.418335,63.404868,66.411281,1.169078,150.283198
19.402845,0.433080,71.873134,74.975195,1.260980,167.945734
19.762550,0.462561,81.581780,115.325382,1.494372,218.627162
20.057621,0.639983,82.263505,150.432149,1.638419,255.032168
19.874598,0.679917,76.973223,121.652636,1.743121,220.924042
20.326614,0.636247,80.255715,137.336268,2.070030,240.625330
25.683652,0.774707,82.243916,109.234137,2.196043,220.133035
22.489147,0.860030,73.945627,115.803367,2.239256,215.337980
20.843356,0.917269,74.636975,121.229573,3.131295,220.759028
35.360317,0.882659,76.916296,103.339485,2.871312,219.370543
29.920091,0.746492,97.216443,104.591283,3.358216,235.833105
