# Timestamp KF, Num CovKFs, Num KFs, Num RecentMPs, Num MPs, processKF, MPCulling, CreateMP, SearchNeigh, BA, KFCulling, [numFixKF_LBA]
0,0,1,376,376,29.966087,0.037491,0.027506,2.281020,0.040703,0.003459,0
103735900,1,2,545,521,1.362136,0.040971,17.827481,4.591065,0.040107,0.001004,0
207338100,2,3,546,659,24.187929,0.390850,48.024637,0.000189,0.000000,0.000000,0
311075200,3,4,566,807,20.636579,0.267834,50.940038,0.000126,0.000000,0.000000,0
414691700,4,5,588,928,18.520120,0.247204,51.783573,0.000127,0.000000,0.000000,0
518430200,5,6,567,931,17.595228,0.268375,33.349757,0.000121,0.000000,0.000000,0
622044800,6,7,590,1020,21.460715,0.462951,59.498945,0.000155,0.000000,0.000000,0
725797700,7,8,598,1037,25.944570,0.382702,36.846600,0.000151,0.000000,0.000000,0
829419900,8,9,608,1141,21.680995,0.403706,62.939114,0.000119,0.000000,0.000000,0
933146700,9,10,642,1221,19.859434,0.282573,45.039915,0.000130,0.000000,0.000000,0
1036910000,7,11,739,1324,18.482605,0.331416,86.455944,0.000131,0.000000,0.000000,0
1140497000,8,12,816,1446,23.399650,1.171662,69.208977,0.000116,0.000000,0.000000,0
1244242000,6,13,768,1495,19.415591,0.644054,59.473873,0.000117,0.000000,0.000000,0
1347979000,6,14,698,1507,21.766893,0.536408,49.081655,0.000144,0.000000,0.000000,0
1451596000,7,15,677,1643,18.926684,0.426620,68.507704,0.000136,0.000000,0.000000,0
1555212000,8,16,790,1803,17.598226,0.360625,64.752373,0.000121,0.000000,0.000000,0
1658960000,9,17,837,1865,17.781229,0.388748,64.142261,0.000123,0.000000,0.000000,0
1762569000,10,18,813,1913,17.594969,0.367097,64.876487,0.000128,0.000000,0.000000,0
1866302000,9,19,769,1977,21.093340,0.646179,74.515529,0.000112,0.000000,0.000000,0
1969923000,10,20,768,2060,19.257319,0.583989,71.098970,0.000107,0.000000,0.000000,0
2073666000,10,21,793,2137,17.080709,0.512558,67.914474,0.000139,0.000000,0.000000,0
2177281000,10,22,827,2226,17.309887,0.423954,70.440896,0.000104,0.000000,0.000000,0
2281017000,12,23,813,2277,18.090609,0.475434,65.798063,0.000127,0.000000,0.000000,0
2384639000,12,24,782,2297,16.538675,0.484258,68.075035,0.000126,0.000000,0.000000,0
2488250000,13,25,810,2392,16.511433,0.433926,68.320766,0.000141,0.000000,0.000000,0
2591988000,12,26,849,2435,16.165949,0.383193,60.441807,0.000140,0.000000,0.000000,0
2695832000,15,27,807,2419,16.911210,0.446768,59.497936,0.000131,0.000000,0.000000,0
2799367000,16,28,706,2440,17.280476,0.402293,54.853707,0.000133,0.000000,0.000000,0
2903084000,16,29,697,2498,16.522471,0.355448,59.200749,0.000143,0.000000,0.000000,0
3006768000,17,30,713,2581,17.631789,0.369493,55.883981,0.000130,0.000000,0.000000,0
3110441000,16,31,712,2627,17.439428,0.408397,63.789035,0.000119,0.000000,0.000000,0
3214057000,19,32,730,2723,34.584720,0.368688,70.980157,0.000125,0.000000,0.000000,0
3317669000,12,33,689,2696,26.259085,0.346253,42.067045,0.000164,0.000000,0.000000,0
3421285000,13,34,654,2810,25.083279,0.394136,71.174878,0.000123,0.000000,0.000000,0
3524925000,14,35,772,2967,21.324250,0.324704,67.004022,0.000147,0.000000,0.000000,0
3628545000,13,36,814,3061,23.180760,0.430376,68.967298,0.000128,0.000000,0.000000,0
3732256000,13,37,830,3065,20.619490,0.469466,52.994022,0.000124,0.000000,0.000000,0
3835871000,14,38,723,3072,20.465107,0.442415,51.835219,0.000153,0.000000,0.000000,0
3939488000,14,39,634,3105,22.381471,0.433787,58.276566,0.000137,0.000000,0.000000,0
4043107000,14,40,672,3203,20.907227,0.364582,56.700967,0.000145,0.000000,0.000000,0
4146888000,16,41,695,3281,20.814652,0.368771,58.615646,0.000134,0.000000,0.000000,0
4250460000,18,42,699,3295,19.530070,0.385945,52.852831,0.000118,0.000000,0.000000,0
4354202000,19,43,651,3301,18.849822,0.380744,50.679184,0.000111,0.000000,0.000000,0
4457940000,17,44,616,3311,20.326644,0.384920,54.871387,0.000109,0.000000,0.000000,0
4561559000,18,45,614,3333,21.404073,0.368662,54.512164,0.000146,0.000000,0.000000,0
4665293000,19,46,609,3369,20.191702,0.449666,59.400861,0.000119,0.000000,0.000000,0
4768912000,19,47,526,3336,21.662511,0.443903,41.759495,0.000142,0.000000,0.000000,0
4872532000,16,48,555,3505,20.427963,0.401032,78.035390,0.000116,0.000000,0.000000,0
4976146000,16,49,698,3688,19.248416,0.370891,60.951901,0.000124,0.000000,0.000000,0
5079909000,20,50,753,3844,20.453563,0.535514,81.197592,0.000112,0.000000,0.000000,0
5183503000,17,51,827,3920,19.714609,0.591649,73.652399,0.000116,0.000000,0.000000,0
5287117000,18,52,889,4064,19.745631,0.577658,81.927892,0.000124,0.000000,0.000000,0
5390861000,17,53,908,4138,20.604505,0.617127,66.908757,0.000129,0.000000,0.000000,0
5494473000,16,54,903,4159,18.500582,0.499060,57.350961,0.000118,0.000000,0.000000,0
5598233000,13,55,806,4188,18.229772,0.478205,56.983038,0.000123,0.000000,0.000000,0
5701829000,18,56,710,4260,19.981898,0.491870,88.973107,0.000136,0.000000,0.000000,0
5805571000,10,57,781,4410,20.861545,1.000513,81.657878,0.000125,0.000000,0.000000,0
5909185000,14,58,851,4582,19.133891,0.633186,85.391369,0.000129,0.000000,0.000000,0
6012921000,15,59,882,4584,18.656825,0.519458,65.467362,0.000123,0.000000,0.000000,0
6116541000,13,60,881,4725,20.010393,0.678497,99.132013,0.000117,0.000000,0.000000,0
6220278000,12,61,847,4685,24.918550,0.802301,64.545159,0.000133,0.000000,0.000000,0
6323895000,13,62,854,4831,25.231944,0.572260,84.355556,0.000115,0.000000,0.000000,0
6427659000,12,63,801,4840,27.216488,0.673959,60.492980,0.000124,0.000000,0.000000,0
6531383000,14,64,829,4906,23.333736,0.503094,68.604559,0.000123,0.000000,0.000000,0
6634992000,14,65,812,4922,27.305628,0.437050,58.100145,0.000120,0.000000,0.000000,0
6738741000,14,66,772,4954,22.922270,0.471177,66.699503,0.000120,0.000000,0.000000,0
6842350000,16,67,671,4939,23.206003,0.442164,46.424973,0.000135,0.000000,0.000000,0
6945963000,16,68,643,4964,21.317560,0.426347,58.125800,0.000134,0.000000,0.000000,0
7049705000,16,69,615,5018,20.683879,0.327314,47.027011,0.000119,0.000000,0.000000,0
7153323000,16,70,604,5044,23.524078,0.368914,56.630730,0.000127,0.000000,0.000000,0
7256934000,16,71,607,5106,19.903484,0.304758,47.921951,0.000106,0.000000,0.000000,0
7360549000,17,72,569,5124,21.175395,0.311734,50.423438,0.000132,0.000000,0.000000,0
7464167000,16,73,565,5162,23.051663,0.447219,57.538322,0.000112,0.000000,0.000000,0
7567786000,17,74,520,5171,19.971410,0.353368,40.705643,0.000104,0.000000,0.000000,0
7671396000,18,75,610,5294,19.364211,0.348513,67.993368,0.000120,0.000000,0.000000,0
7775144000,19,76,608,5352,18.608827,0.250693,40.881780,0.000122,0.000000,0.000000,0
7878754000,20,77,657,5454,19.204438,0.296463,68.206784,0.000131,0.000000,0.000000,0
7982493000,19,78,657,5613,19.133435,0.260173,53.866571,0.000099,0.000000,0.000000,0
8086111000,18,79,797,5871,18.676844,0.335492,88.755351,0.000126,0.000000,0.000000,0
8189849000,21,80,846,6056,19.377983,0.345378,74.498900,0.000103,0.000000,0.000000,0
8293470000,18,81,840,6104,19.971957,0.402928,58.199983,0.000130,0.000000,0.000000,0
8397102000,20,82,803,6194,21.045347,0.415253,67.103854,0.000102,0.000000,0.000000,0
8500847000,20,83,746,6267,20.994715,0.399518,65.589310,0.000125,0.000000,0.000000,0
8604438000,21,84,797,6393,20.892511,0.431492,71.074893,0.000134,0.000000,0.000000,0
8708175000,18,85,808,6525,22.038163,0.455662,85.202594,0.000124,0.000000,0.000000,0
8811795000,16,86,791,6589,21.406406,0.557333,68.768790,0.000114,0.000000,0.000000,0
8915403000,23,87,746,6645,21.407656,0.515762,72.147143,0.000129,0.000000,0.000000,0
9019162000,17,88,715,6690,21.698825,0.386909,61.257892,0.000114,0.000000,0.000000,0
9122890000,15,89,798,6900,21.000989,0.403660,89.797715,0.000128,0.000000,0.000000,0
9226512000,14,90,922,7080,20.237653,0.437700,74.219734,0.000138,0.000000,0.000000,0
9330247000,16,91,994,7198,20.613660,0.514660,82.316326,0.000124,0.000000,0.000000,0
9433986000,17,92,984,7273,21.100273,0.524014,73.477336,0.000120,0.000000,0.000000,0
9537749000,17,93,911,7302,23.153240,0.530695,72.460711,0.000102,0.000000,0.000000,0
9641587000,18,94,917,7045,24.913239,0.530301,91.374948,58.160003,0.000000,0.000000,0
9849229000,22,95,687,7122,22.918137,0.377313,56.658376,0.000117,0.000000,0.000000,0
9953059000,23,96,832,7369,22.138509,0.349025,73.787243,0.000097,0.000000,0.000000,0
10056930000,24,97,838,7603,25.272447,0.464396,84.710368,0.000146,0.000000,0.000000,0
10160830000,25,98,973,7762,23.499106,0.471419,79.598383,0.000115,0.000000,0.000000,0
10264660000,24,99,943,7788,22.750362,0.546304,69.345132,0.000102,0.000000,0.000000,0
10368670000,25,100,882,7780,23.272871,0.535034,69.662164,0.000115,0.000000,0.000000,0
10472640000,23,101,783,7828,25.002163,0.593041,74.986790,0.000113,0.000000,0.000000,0
10576630000,24,102,792,7896,23.432973,0.496887,68.637062,0.000101,0.000000,0.000000,0
10680620000,29,103,793,7464,22.261247,0.400102,75.930414,72.622363,48.428787,5.087287,72
10992720000,27,104,795,7581,24.679115,0.481008,99.348578,62.352074,35.378665,3.873795,75
11304310000,23,105,939,8039,20.256437,0.415388,69.069430,42.257232,0.000000,0.000000,0
11408180000,21,106,843,8337,19.893450,0.390263,67.052570,0.000107,0.000000,0.000000,0
11511920000,22,107,974,8238,19.884803,0.539549,58.241022,45.574823,0.000000,0.000000,0
11615530000,20,108,776,8482,20.820917,0.402449,77.868938,0.000146,0.000000,0.000000,0
11719270000,23,109,1021,8354,36.998250,0.487036,61.899208,48.958978,41.580190,5.622254,81
11926380000,23,110,921,8334,41.101111,3.239019,84.226477,61.670617,44.480384,4.759804,82
12237100000,12,111,887,8615,26.765679,0.598935,80.313900,33.291302,0.000000,0.000000,0
12444110000,10,112,785,8788,23.687842,0.648857,89.160409,0.000091,0.000000,0.000000,0
